time,x1,y1,z1,x2,y2,z2
2016-03-09 22:52:03.546,5.002708,-3.7388659,1.0867126,-3.7292912000000014,-8.152739,2.6186423
2016-03-09 22:52:03.562,4.811217,-2.5037475,1.5750152,-4.322914,-8.2676325,2.6952388
2016-03-09 22:52:03.578,4.945260500000002,-1.4888442,2.8197080000000003,-4.763344,-8.152739,2.6569404999999997
2016-03-09 22:52:03.594,6.1899533,-2.321831,3.3463089999999998,-5.4335629999999995,-7.999544999999999,2.101616
2016-03-09 22:52:03.610,7.9325233,-3.6431203,3.1356685,-5.9314404000000005,-7.8846507,1.6803354
2016-03-09 22:52:03.626,7.702733999999999,-2.7431116,2.494173,-5.7782474000000015,-8.2676325,1.8143792
2016-03-09 22:52:03.642,8.4686985,-1.5175678999999995,3.2218397000000003,-5.49101,-8.382527,2.1590632999999997
2016-03-09 22:52:03.658,13.437895999999999,-4.4473834000000005,5.7495236,-5.4335629999999995,-8.401677000000001,2.9250283
2016-03-09 22:52:03.674,14.108115,-6.9080452999999995,7.3006024000000025,-5.2229230000000015,-8.535721,2.88673
2016-03-09 22:52:03.690,11.15915,-7.070812700000001,5.8644185,-4.763344,-9.742115,2.3697037999999995
2016-03-09 22:52:03.706,8.66019,-4.016528,5.108028,-4.1122737,-10.910212,2.254809
2016-03-09 22:52:03.722,6.4484663,-0.46436617,5.28037,-3.1356685,-10.2016945,2.752686
2016-03-09 22:52:03.738,7.4633699999999985,-2.6952388,8.066567,-2.4463003,-9.225089,4.169721
2016-03-09 22:52:03.754,6.5537868,-7.5303917,8.602742,-2.0250196,-8.191036,5.3186684
2016-03-09 22:52:03.770,5.395264599999999,-8.564445,8.401677000000001,-1.8143792,-7.156984,5.1846247000000005
2016-03-09 22:52:03.786,4.8878129999999995,-6.2952733,8.334655,-1.1633091,-6.486765,5.242071599999999
2016-03-09 22:52:03.802,4.3995104000000005,-4.801642,7.568689999999999,-0.6845810999999999,-6.0846334,5.4335629999999995
2016-03-09 22:52:03.818,4.1792955,-5.2037735000000005,6.8888964999999995,0.110107444,-5.2229230000000015,6.7931504
2016-03-09 22:52:03.834,4.5718527,-6.2761245,6.639958,0.56968635,-4.7058964,6.1995277
2016-03-09 22:52:03.850,5.0122824,-7.1857076,6.7165539999999995,0.76117754,-4.2846160000000015,5.1654754
2016-03-09 22:52:03.866,4.5622783,-7.875075999999999,5.8644185,1.2782038,-4.5144053,3.9590807
2016-03-09 22:52:03.882,4.303765,-7.9899707,5.155901,2.2739582,-6.1229315,4.8590894
2016-03-09 22:52:03.898,3.6814184,-7.683584700000001,4.2271686,2.4463003,-8.076141,4.6675982000000005
2016-03-09 22:52:03.914,3.8250370000000014,-7.7889050000000015,4.0931244,1.8718264999999998,-8.918703,3.3463089999999998
2016-03-09 22:52:03.930,4.5718527,-7.2144312999999975,5.644203,1.469695,-8.650616000000001,3.4037561000000003
2016-03-09 22:52:03.946,4.504830999999999,-5.644203,5.979312999999999,1.0292653,-9.359133,4.0931244
